,Image type,Image index,Distinctiveness type,RE type,Distinctiveness percentile,RE percentile
0,Target,1018,Large,Small,94.87,10.11
1,Target,2077,Large,Small,89.76,7.46
2,Target,1023,Large,Small,85.23,2.98
3,Target,809,Large,Small,90.52,10.42
4,Target,781,Large,Small,89.12,10.16
5,Target,414,Large,Small,91.57,13.17
6,Target,1167,Large,Small,89.52,11.59
7,Target,1984,Large,Small,84.83,7.93
8,Target,1657,Large,Small,94.42,18.33
9,Target,2129,Large,Small,93.73,18.79
10,Target,1954,Large,Small,96.97,22.86
11,Target,1083,Large,Small,88.71,14.73
12,Target,924,Large,Small,81.0,7.47
13,Target,1135,Large,Small,95.31,22.16
14,Target,935,Large,Small,84.96,13.45
15,Target,1723,Large,Small,76.38,5.92
16,Target,1119,Large,Small,81.03,11.14
17,Target,2176,Large,Small,88.92,19.13
18,Target,579,Large,Small,91.75,22.13
19,Target,713,Large,Small,80.97,12.0
20,Target,239,Large,Small,76.47,7.83
21,Target,2065,Large,Small,73.31,4.9
22,Target,900,Large,Small,81.9,13.65
23,Target,1986,Large,Small,94.05,25.9
24,Target,1362,Large,Small,74.85,6.77
25,Target,899,Large,Small,88.33,20.99
26,Target,739,Large,Small,89.71,22.37
27,Target,738,Large,Small,83.85,16.93
28,Target,2204,Large,Small,84.05,17.3
29,Target,335,Large,Small,75.39,9.06
30,Target,628,Large,Small,90.17,23.9
31,Target,2212,Large,Small,82.51,16.4
32,Target,1608,Large,Small,95.17,29.27
33,Target,2139,Large,Small,82.89,17.43
34,Target,1511,Large,Small,73.58,8.17
35,Target,1518,Large,Small,73.43,8.9
36,Target,2175,Large,Small,76.01,12.84
37,Target,1406,Large,Small,79.69,17.39
38,Target,616,Large,Small,89.84,27.62
39,Target,1589,Large,Small,76.98,14.98
40,Target,586,Large,Small,77.92,16.31
41,Target,495,Large,Small,74.35,12.77
42,Target,957,Large,Small,73.54,12.38
43,Target,2213,Large,Small,88.11,27.61
44,Target,503,Large,Small,74.48,14.66
45,Target,1491,Large,Small,73.76,14.26
46,Target,1054,Large,Small,87.69,28.86
47,Target,975,Large,Small,70.78,11.96
48,Target,1640,Large,Small,70.6,12.18
49,Target,638,Large,Small,82.99,24.58
50,Target,2121,Large,Small,86.5,28.33
51,Target,1933,Large,Small,86.88,28.75
52,Target,1094,Large,Small,77.43,19.99
53,Target,1583,Large,Small,81.68,24.82
54,Target,1835,Large,Small,81.87,25.2
55,Target,1580,Large,Small,83.23,26.89
56,Target,1082,Large,Small,85.42,29.64
57,Target,1331,Large,Small,70.64,16.3
58,Target,355,Large,Small,81.26,27.52
59,Target,388,Large,Small,79.59,26.01
60,Target,1056,Large,Small,73.06,20.85
61,Target,279,Large,Small,77.86,26.61
62,Target,496,Large,Small,77.62,27.72
63,Target,313,Large,Small,75.03,25.5
64,Target,1458,Small,Large,4.7,98.67
65,Target,1019,Small,Large,0.04,89.78
66,Target,1673,Small,Large,0.35,89.55
67,Target,16,Small,Large,9.3,91.53
68,Target,270,Small,Large,21.85,98.77
69,Target,205,Small,Large,16.38,91.75
70,Target,479,Small,Large,16.85,92.07
71,Target,295,Small,Large,6.25,79.86
72,Target,1021,Small,Large,22.12,94.5
73,Target,583,Small,Large,16.01,88.28
74,Target,1184,Small,Large,24.78,96.83
75,Target,549,Small,Large,14.06,85.8
76,Target,202,Small,Large,15.77,87.3
77,Target,1702,Small,Large,7.84,78.88
78,Target,782,Small,Large,17.21,88.11
79,Target,773,Small,Large,20.55,91.3
80,Target,2048,Small,Large,16.86,87.32
81,Target,427,Small,Large,14.89,85.29
82,Target,474,Small,Large,14.07,84.18
83,Target,1726,Small,Large,15.44,85.33
84,Target,570,Small,Large,16.63,85.09
85,Target,1591,Small,Large,12.92,81.32
86,Target,2130,Small,Large,15.1,83.35
87,Target,1269,Small,Large,24.54,91.73
88,Target,1748,Small,Large,8.54,75.58
89,Target,1470,Small,Large,11.26,77.76
90,Target,1060,Small,Large,25.28,91.74
91,Target,274,Small,Large,19.1,85.24
92,Target,1529,Small,Large,22.59,88.38
93,Target,1380,Small,Large,23.61,89.16
94,Target,1643,Small,Large,24.99,90.12
95,Target,332,Small,Large,18.36,82.92
96,Target,998,Small,Large,19.51,84.08
97,Target,788,Small,Large,13.34,77.62
98,Target,109,Small,Large,8.19,72.17
99,Target,1244,Small,Large,24.91,88.46
100,Target,404,Small,Large,14.58,78.08
101,Target,1165,Small,Large,20.41,83.79
102,Target,3,Small,Large,24.16,87.4
103,Target,718,Small,Large,11.0,74.22
104,Target,842,Small,Large,12.94,76.14
105,Target,283,Small,Large,27.62,90.64
106,Target,121,Small,Large,12.51,75.32
107,Target,1235,Small,Large,11.31,74.04
108,Target,667,Small,Large,12.68,74.79
109,Target,1722,Small,Large,27.16,88.82
110,Target,902,Small,Large,23.37,84.83
111,Target,1604,Small,Large,22.53,83.18
112,Target,164,Small,Large,12.01,72.64
113,Target,2021,Small,Large,29.38,89.97
114,Target,2128,Small,Large,21.75,82.08
115,Target,8,Small,Large,23.75,83.02
116,Target,1790,Small,Large,26.35,85.56
117,Target,696,Small,Large,17.51,76.18
118,Target,1395,Small,Large,20.53,79.13
119,Target,1658,Small,Large,18.45,76.78
120,Target,790,Small,Large,21.14,79.45
121,Target,282,Small,Large,20.82,79.01
122,Target,771,Small,Large,16.27,74.43
123,Target,2047,Small,Large,23.29,81.4
124,Target,652,Small,Large,24.14,81.37
125,Target,1854,Small,Large,17.66,74.53
126,Target,737,Small,Large,16.25,72.28
127,Target,1157,Small,Large,14.96,70.42
128,Target,922,Small,Small,1.01,1.75
129,Target,233,Small,Small,2.9,0.27
130,Target,181,Small,Small,2.84,0.51
131,Target,316,Small,Small,1.48,2.89
132,Target,1238,Small,Small,3.53,1.69
133,Target,38,Small,Small,2.35,3.48
134,Target,1003,Small,Small,1.69,4.5
135,Target,693,Small,Small,4.51,1.68
136,Target,226,Small,Small,1.43,4.77
137,Target,1575,Small,Small,3.57,2.94
138,Target,1447,Small,Small,4.34,2.78
139,Target,1952,Small,Small,5.33,1.82
140,Target,838,Small,Small,3.34,4.33
141,Target,637,Small,Small,6.6,1.4
142,Target,834,Small,Small,4.2,4.1
143,Target,878,Small,Small,4.76,3.66
144,Target,870,Small,Small,1.42,7.86
145,Target,419,Small,Small,1.57,7.98
146,Target,394,Small,Small,4.35,5.24
147,Target,1701,Small,Small,3.64,6.11
148,Target,888,Small,Small,3.06,6.75
149,Target,1096,Small,Small,3.88,6.17
150,Target,804,Small,Small,5.67,4.45
151,Target,1370,Small,Small,3.22,7.64
152,Target,875,Small,Small,5.37,6.15
153,Target,131,Small,Small,5.79,5.8
154,Target,1097,Small,Small,1.82,10.74
155,Target,1139,Small,Small,4.99,7.79
156,Target,1917,Small,Small,3.95,8.99
157,Target,754,Small,Small,2.8,10.35
158,Target,1553,Small,Small,10.84,2.88
159,Target,786,Small,Small,9.89,4.22
160,Target,1038,Small,Small,3.15,11.04
161,Target,1484,Small,Small,13.5,0.71
162,Target,1072,Small,Small,10.62,3.73
163,Target,692,Small,Small,5.9,8.46
164,Target,1280,Small,Small,4.01,10.77
165,Target,473,Small,Small,6.4,8.51
166,Target,89,Small,Small,9.82,5.19
167,Target,448,Small,Small,7.73,7.37
168,Target,1176,Small,Small,6.94,8.64
169,Target,238,Small,Small,5.0,10.6
170,Target,723,Small,Small,4.27,11.35
171,Target,1778,Small,Small,4.82,10.83
172,Target,548,Small,Small,2.44,13.76
173,Target,78,Small,Small,7.46,8.77
174,Target,1587,Small,Small,10.11,6.35
175,Target,1365,Small,Small,9.33,7.77
176,Target,437,Small,Small,10.63,6.85
177,Target,12,Small,Small,3.76,13.77
178,Target,1668,Small,Small,8.23,9.47
179,Target,1278,Small,Small,5.16,12.67
180,Target,1571,Small,Small,11.97,5.91
181,Target,1250,Small,Small,1.96,16.2
182,Target,736,Small,Small,8.48,10.17
183,Target,298,Small,Small,17.68,0.97
184,Target,1810,Small,Small,9.45,9.26
185,Target,237,Small,Small,11.16,7.73
186,Target,265,Small,Small,3.1,15.82
187,Target,1264,Small,Small,15.8,3.38
188,Target,636,Small,Small,2.99,16.19
189,Target,1310,Small,Small,4.68,15.19
190,Target,890,Small,Small,6.86,13.04
191,Target,1819,Small,Small,11.08,8.96
192,Target,100,Large,Large,99.58,99.93
193,Target,1292,Large,Large,99.47,99.88
194,Target,1179,Large,Large,99.85,99.21
195,Target,1973,Large,Large,99.73,99.24
196,Target,409,Large,Large,99.75,98.61
197,Target,990,Large,Large,99.91,98.38
198,Target,1840,Large,Large,98.58,98.58
199,Target,916,Large,Large,98.73,97.84
200,Target,1342,Large,Large,97.29,98.97
201,Target,260,Large,Large,98.36,97.88
202,Target,576,Large,Large,99.06,97.05
203,Target,1255,Large,Large,96.32,99.37
204,Target,1107,Large,Large,97.03,98.54
205,Target,2079,Large,Large,98.02,97.38
206,Target,872,Large,Large,95.63,99.69
207,Target,1332,Large,Large,98.9,96.33
208,Target,1665,Large,Large,96.39,98.72
209,Target,452,Large,Large,99.39,95.53
210,Target,1122,Large,Large,95.09,99.74
211,Target,253,Large,Large,95.83,98.86
212,Target,1706,Large,Large,98.45,95.74
213,Target,2120,Large,Large,95.97,98.21
214,Target,1637,Large,Large,94.92,99.18
215,Target,1860,Large,Large,95.68,98.25
216,Target,302,Large,Large,99.24,94.59
217,Target,149,Large,Large,95.61,97.7
218,Target,2174,Large,Large,97.5,95.28
219,Target,1693,Large,Large,98.03,94.71
220,Target,1286,Large,Large,99.49,92.75
221,Target,727,Large,Large,98.74,93.15
222,Target,1635,Large,Large,96.68,95.22
223,Target,2016,Large,Large,94.48,96.81
224,Target,1236,Large,Large,93.95,96.78
225,Target,2075,Large,Large,94.63,95.85
226,Target,675,Large,Large,98.6,91.76
227,Target,2103,Large,Large,96.9,93.37
228,Target,380,Large,Large,94.95,94.89
229,Target,1721,Large,Large,94.55,94.84
230,Target,646,Large,Large,94.88,94.28
231,Target,898,Large,Large,94.51,94.54
232,Target,729,Large,Large,91.45,97.58
233,Target,1245,Large,Large,90.82,98.13
234,Target,1567,Large,Large,93.99,94.79
235,Target,1620,Large,Large,92.19,96.31
236,Target,530,Large,Large,88.66,99.43
237,Target,1110,Large,Large,90.78,97.31
238,Target,1556,Large,Large,96.37,91.63
239,Target,1652,Large,Large,92.81,95.09
240,Target,1759,Large,Large,88.74,99.15
241,Target,1719,Large,Large,96.74,91.14
242,Target,673,Large,Large,98.71,88.9
243,Target,2206,Large,Large,95.72,91.82
244,Target,1087,Large,Large,93.75,93.68
245,Target,2125,Large,Large,95.04,92.33
246,Target,1227,Large,Large,97.51,89.56
247,Target,379,Large,Large,97.99,88.96
248,Target,1126,Large,Large,93.81,93.08
249,Target,643,Large,Large,94.39,92.44
250,Target,48,Large,Large,90.27,96.47
251,Target,1420,Large,Large,97.86,88.88
252,Target,853,Large,Large,96.7,89.96
253,Target,362,Large,Large,92.67,93.73
254,Target,1524,Large,Large,93.83,92.49
255,Target,780,Large,Large,95.38,90.91
256,Filler,7413,N/A,N/A,36.35,31.95
257,Filler,322,N/A,N/A,42.71,51.06
258,Filler,1988,N/A,N/A,50.63,32.23
259,Filler,5184,N/A,N/A,23.63,73.63
260,Filler,2326,N/A,N/A,45.23,52.57
261,Filler,5728,N/A,N/A,5.13,44.31
262,Filler,1010,N/A,N/A,66.67,97.72
263,Filler,5742,N/A,N/A,81.65,46.57
264,Filler,2007,N/A,N/A,40.18,57.51
265,Filler,562,N/A,N/A,42.02,88.74
266,Filler,6303,N/A,N/A,6.69,35.44
267,Filler,2308,N/A,N/A,49.09,10.25
268,Filler,2911,N/A,N/A,94.79,38.75
269,Filler,6046,N/A,N/A,32.42,42.74
270,Filler,7874,N/A,N/A,57.08,22.93
271,Filler,2577,N/A,N/A,54.87,15.02
272,Filler,4675,N/A,N/A,26.8,87.1
273,Filler,5382,N/A,N/A,15.72,75.12
274,Filler,5958,N/A,N/A,13.66,73.17
275,Filler,5998,N/A,N/A,32.77,3.68
276,Filler,5034,N/A,N/A,24.9,44.11
277,Filler,597,N/A,N/A,9.43,25.14
278,Filler,3969,N/A,N/A,74.55,24.4
279,Filler,6203,N/A,N/A,11.35,5.12
280,Filler,3262,N/A,N/A,82.29,23.01
281,Filler,5613,N/A,N/A,39.67,2.74
282,Filler,5621,N/A,N/A,6.43,23.82
283,Filler,613,N/A,N/A,50.6,30.54
284,Filler,6521,N/A,N/A,67.13,24.72
285,Filler,4785,N/A,N/A,0.1,41.57
286,Filler,4574,N/A,N/A,37.7,56.12
287,Filler,4952,N/A,N/A,24.93,45.27
288,Filler,4880,N/A,N/A,60.92,88.83
289,Filler,1097,N/A,N/A,59.28,94.4
290,Filler,2262,N/A,N/A,96.96,95.24
291,Filler,2720,N/A,N/A,12.25,6.86
292,Filler,676,N/A,N/A,59.92,69.92
293,Filler,4748,N/A,N/A,12.16,80.6
294,Filler,7652,N/A,N/A,95.28,81.52
295,Filler,3949,N/A,N/A,70.29,22.17
296,Filler,4679,N/A,N/A,57.34,85.46
297,Filler,6392,N/A,N/A,1.22,4.18
298,Filler,7193,N/A,N/A,42.13,92.1
299,Filler,2283,N/A,N/A,70.64,28.14
300,Filler,3773,N/A,N/A,21.89,70.9
301,Filler,6717,N/A,N/A,18.15,32.07
302,Filler,5179,N/A,N/A,65.87,28.9
303,Filler,6699,N/A,N/A,59.26,4.67
304,Filler,6301,N/A,N/A,20.25,4.39
305,Filler,3320,N/A,N/A,28.77,94.41
306,Filler,6009,N/A,N/A,13.54,67.35
307,Filler,4727,N/A,N/A,65.38,16.74
308,Filler,7958,N/A,N/A,32.39,15.8
309,Filler,3870,N/A,N/A,8.26,15.71
310,Filler,808,N/A,N/A,6.35,11.24
311,Filler,537,N/A,N/A,11.63,29.06
312,Filler,4901,N/A,N/A,10.8,56.96
313,Filler,6610,N/A,N/A,59.98,95.12
314,Filler,1886,N/A,N/A,97.68,91.66
315,Filler,7749,N/A,N/A,65.28,23.78
316,Filler,910,N/A,N/A,68.66,54.73
317,Filler,3106,N/A,N/A,3.99,35.88
318,Filler,7129,N/A,N/A,25.98,80.68
319,Filler,503,N/A,N/A,52.17,69.12
320,Filler,5108,N/A,N/A,72.98,92.77
321,Filler,1390,N/A,N/A,61.17,3.98
322,Filler,5338,N/A,N/A,46.15,31.54
323,Filler,4152,N/A,N/A,72.76,75.93
324,Filler,2278,N/A,N/A,30.22,40.38
325,Filler,2853,N/A,N/A,20.74,40.03
326,Filler,4188,N/A,N/A,30.2,58.61
327,Filler,7882,N/A,N/A,41.84,52.91
328,Filler,4351,N/A,N/A,30.15,6.83
329,Filler,6485,N/A,N/A,40.38,0.31
330,Filler,302,N/A,N/A,54.11,70.57
