,sub,condition,hit,fa,dprime,response_type,probe_hit,probe_fa,probe_dprime,duration,property,Dist,RE
0,17a0b95a-caef-46b5-afdd-2ee194101fff,,0.03333333333333333,0.03333333333333333,0.0,image,,,,,,,
1,17a0b95a-caef-46b5-afdd-2ee194101fff,Dist_Small_RE_Small_10,0.812,0.188,1.771,image,,,,167.0,Dist_Small_RE_Small,Small,Small
2,17a0b95a-caef-46b5-afdd-2ee194101fff,Dist_Large_RE_Large_10,0.984375,0.312,2.644,image,,,,167.0,Dist_Large_RE_Large,Large,Large
3,17a0b95a-caef-46b5-afdd-2ee194101fff,Dist_Large_RE_Large_5,0.812,0.25,1.56,image,,,,84.0,Dist_Large_RE_Large,Large,Large
4,17a0b95a-caef-46b5-afdd-2ee194101fff,Dist_Large_RE_Large_2,0.5,0.062,1.538,image,,,,50.0,Dist_Large_RE_Large,Large,Large
5,17a0b95a-caef-46b5-afdd-2ee194101fff,Dist_Small_RE_Small_2,0.438,0.062,1.382,image,,,,50.0,Dist_Small_RE_Small,Small,Small
6,17a0b95a-caef-46b5-afdd-2ee194101fff,Dist_Small_RE_Small_5,0.05,0.05,0.0,image,,,,84.0,Dist_Small_RE_Small,Small,Small
7,17a0b95a-caef-46b5-afdd-2ee194101fff,,,,,probe,0.02631578947368421,0.02631578947368421,0.0,,,,
8,17a0b95a-caef-46b5-afdd-2ee194101fff,Dist_Small_RE_Small_10,,,,probe,0.833,0.015625,3.12,167.0,Dist_Small_RE_Small,Small,Small
9,17a0b95a-caef-46b5-afdd-2ee194101fff,Dist_Large_RE_Large_10,,,,probe,0.909,0.19,2.213,167.0,Dist_Large_RE_Large,Large,Large
10,17a0b95a-caef-46b5-afdd-2ee194101fff,Dist_Large_RE_Large_5,,,,probe,0.818,0.19,1.786,84.0,Dist_Large_RE_Large,Large,Large
11,17a0b95a-caef-46b5-afdd-2ee194101fff,Dist_Large_RE_Large_2,,,,probe,0.667,0.2,1.273,50.0,Dist_Large_RE_Large,Large,Large
12,17a0b95a-caef-46b5-afdd-2ee194101fff,Dist_Small_RE_Small_2,,,,probe,0.818,0.238,1.621,50.0,Dist_Small_RE_Small,Small,Small
13,17a0b95a-caef-46b5-afdd-2ee194101fff,Dist_Small_RE_Small_5,,,,probe,0.25,0.05,0.97,84.0,Dist_Small_RE_Small,Small,Small
14,7a88f23a-d1d1-478d-8e51-a3ccdf6aa7c9,,0.02631578947368421,0.02631578947368421,0.0,image,,,,,,,
15,7a88f23a-d1d1-478d-8e51-a3ccdf6aa7c9,Dist_Large_RE_Small_10,0.75,0.015625,2.828,image,,,,167.0,Dist_Large_RE_Small,Large,Small
16,7a88f23a-d1d1-478d-8e51-a3ccdf6aa7c9,Dist_Small_RE_Small_5,0.188,0.062,0.653,image,,,,84.0,Dist_Small_RE_Small,Small,Small
17,7a88f23a-d1d1-478d-8e51-a3ccdf6aa7c9,Dist_Large_RE_Large_10,0.875,0.125,2.301,image,,,,167.0,Dist_Large_RE_Large,Large,Large
18,7a88f23a-d1d1-478d-8e51-a3ccdf6aa7c9,Dist_Large_RE_Small_5,0.812,0.25,1.56,image,,,,84.0,Dist_Large_RE_Small,Large,Small
19,7a88f23a-d1d1-478d-8e51-a3ccdf6aa7c9,Dist_Large_RE_Small_2,0.562,0.062,1.694,image,,,,50.0,Dist_Large_RE_Small,Large,Small
20,7a88f23a-d1d1-478d-8e51-a3ccdf6aa7c9,Dist_Small_RE_Large_10,0.688,0.015625,2.644,image,,,,167.0,Dist_Small_RE_Large,Small,Large
21,7a88f23a-d1d1-478d-8e51-a3ccdf6aa7c9,Dist_Large_RE_Large_2,0.438,0.015625,1.998,image,,,,50.0,Dist_Large_RE_Large,Large,Large
22,7a88f23a-d1d1-478d-8e51-a3ccdf6aa7c9,Dist_Small_RE_Small_10,0.312,0.125,0.66,image,,,,167.0,Dist_Small_RE_Small,Small,Small
23,7a88f23a-d1d1-478d-8e51-a3ccdf6aa7c9,Dist_Small_RE_Small_2,0.125,0.062,0.388,image,,,,50.0,Dist_Small_RE_Small,Small,Small
24,7a88f23a-d1d1-478d-8e51-a3ccdf6aa7c9,Dist_Large_RE_Large_5,0.5,0.062,1.538,image,,,,84.0,Dist_Large_RE_Large,Large,Large
25,7a88f23a-d1d1-478d-8e51-a3ccdf6aa7c9,Dist_Small_RE_Large_2,0.125,0.125,0.0,image,,,,50.0,Dist_Small_RE_Large,Small,Large
26,7a88f23a-d1d1-478d-8e51-a3ccdf6aa7c9,Dist_Small_RE_Large_5,0.062,0.015625,0.616,image,,,,84.0,Dist_Small_RE_Large,Small,Large
27,7a88f23a-d1d1-478d-8e51-a3ccdf6aa7c9,,,,,probe,0.025,0.025,0.0,,,,
28,7a88f23a-d1d1-478d-8e51-a3ccdf6aa7c9,Dist_Large_RE_Small_10,,,,probe,0.786,0.056,2.382,167.0,Dist_Large_RE_Small,Large,Small
29,7a88f23a-d1d1-478d-8e51-a3ccdf6aa7c9,Dist_Small_RE_Small_5,,,,probe,0.909,0.015625,3.488,84.0,Dist_Small_RE_Small,Small,Small
30,7a88f23a-d1d1-478d-8e51-a3ccdf6aa7c9,Dist_Large_RE_Large_10,,,,probe,0.984375,0.111,3.375,167.0,Dist_Large_RE_Large,Large,Large
31,7a88f23a-d1d1-478d-8e51-a3ccdf6aa7c9,Dist_Large_RE_Small_5,,,,probe,0.5,0.05,1.645,84.0,Dist_Large_RE_Small,Large,Small
32,7a88f23a-d1d1-478d-8e51-a3ccdf6aa7c9,Dist_Large_RE_Small_2,,,,probe,0.015625,0.015625,0.0,50.0,Dist_Large_RE_Small,Large,Small
33,7a88f23a-d1d1-478d-8e51-a3ccdf6aa7c9,Dist_Small_RE_Large_10,,,,probe,0.909,0.015625,3.488,167.0,Dist_Small_RE_Large,Small,Large
34,7a88f23a-d1d1-478d-8e51-a3ccdf6aa7c9,Dist_Large_RE_Large_2,,,,probe,0.25,0.015625,1.479,50.0,Dist_Large_RE_Large,Large,Large
